"last_name, first_name","player_id","year","p_era","whiff_percent","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Kaprielian, James","621076","2022","4.23",21.2,"94","2006","-7.6","-15.5","85","2291","4.5","-34.3","79.3","2496","7.3","-51.9",,,,
"Berríos, José","621244","2022","5.23",21.2,"94","2241","-10.6","-16.6",,,,,,,,,,,,
"Wood, Alex","622072","2022","5.10",25,,,,,"84.5","2067","-3.1","-41.1",,,,,,,,
"Castillo, Luis","622491","2022","2.99",27.8,"97.1","2354","-11.4","-15.4","86.5","2422","1.1","-36",,,,,,,,
"Flexen, Chris","623167","2022","3.73",21.7,"91.7","2132","-2.3","-13.7","81.1","2523","7","-43.1","74.6","2651","8.4","-64.6","80.2","2587","12.6","-44.6"
"Suárez, Ranger","624133","2022","3.65",21.3,"93.2","1894","6.6","-20.1","82.4","2114","-6.6","-38.8","76.6","2228","-9.7","-55.5",,,,
"Urías, Julio","628711","2022","2.16",23.7,"93.1","2521","3","-14.9",,,,,,,,,,,,
"Manaea, Sean","640455","2022","4.96",25.5,"91.3","2001","12.5","-20.2","81.6","2036","-3.8","-38.9","80.7","2016","-7.2","-38.7","77.3","2014","-13.2","-44.7"
"López, Pablo","641154","2022","3.75",28.1,"93.5","2196","-4.5","-17.9",,,,,"80.9","2495","11","-51.7",,,,
"Cortes Jr., Nestor","641482","2022","2.44",24.4,"91.8","2270","4.1","-12.7",,,,,"72.1","2437","-9","-56.9","77.1","2521","-15.2","-42.4"
"Dunning, Dane","641540","2022","4.46",24.4,"88","2034","-5.8","-26.6","78.7","2081","7.5","-48.5","80.1","2215","10.1","-55.2",,,,
"Hudson, Dakota","641712","2022","4.45",17.6,"91.3","2169","-4.2","-24.3","87.8","2366","0.5","-30.7","80.5","2420","7.4","-46.9",,,,
"Keller, Brad","641745","2022","5.09",21.5,"94.5","2409","2.4","-17.3","86.9","2541","5.7","-38.5","87.8","2543","4.8","-37.5",,,,
"Kuhl, Chad","641771","2022","5.72",23.6,"92.9","2218","-9.3","-18","86.5","2541","3","-34.4","79.5","2866","12.3","-54.6",,,,
"Lauer, Eric","641778","2022","3.69",24.2,"93.3","2289","9.8","-14.6","86.7","2286","-3.1","-32.3","78.2","2400","-6.4","-52.7",,,,
"Mahle, Tyler","641816","2022","4.40",26.8,"93.2","2293","-10.2","-13.5","83.9","2496","5","-36.8",,,,,,,,
"Alcantara, Sandy","645261","2022","2.28",25.4,"98","2199","-12","-14.9","90","2355","0.3","-30.5","86.2","2350","2.4","-39.3",,,,
"Cease, Dylan","656302","2022","2.20",33.2,"96.8","2507","-3","-10.3","87.4","2833","4","-35","81.1","2697","3.6","-59.1",,,,
"Keller, Mitch","656605","2022","3.91",21.4,"95.5","2422","-7.3","-15.2","87.1","2452","4.9","-36.2","78.7","2576","11.2","-60","83.2","2691","17.4","-42"
"Montgomery, Jordan","656756","2022","3.48",27.4,"93","2305","8.7","-16.8",,,,,"80.2","2263","-2.9","-47.7",,,,
"Rasmussen, Drew","656876","2022","2.84",25.3,"95.5","2398","-2.3","-13.6","85.4","2514","1","-43.1","79.6","2692","4","-59.5","84.6","2470","12.4","-42.2"
"Steele, Justin","657006","2022","3.18",24,"92.2","2490","-1.6","-19.4","82","2687","-14","-43.3","78.4","2539","-11.9","-53",,,,
"Wright, Kyle","657140","2022","3.19",26.3,"95.1","2384","-11.4","-17.7","90.1","2395","-1","-25.5","84.7","2723","9","-46.6",,,,
